,Title,Content,time,Location,ID,platform
0,加沙的无奈+以军的恐惧，未来无法统计加沙死亡人数？,"在加沙地带死亡的人数已经接近15,000人，受伤的人数可是不计其数。之前传出来受伤的人数是在3万人以上，死亡的人数是接近15,000人，而且70%死亡的人数是妇女儿童，并不是有很多哈马斯武装队员被打死。那么现在加沙卫生部门的负责人就指出，以后要统计死亡人数越来越难。
我们现在所看到的尽管有百万之众从加沙北部中部地区前往南部地区，但还有更多的人是留在了加沙城，留在了加沙北部中部地区，这些人必然会成为冲突的牺牲品。
那么加沙卫生部门负责人就指出，由于各种原因导致未来死亡的人数没有办法统计。为什么没有办法统计？几个原因，第一个原因就是医疗设施已经被彻底损毁。没有医疗人员了，大量的医疗人员被杀，被以色列军队炸死，那么哪还有医疗人员。统计这些死亡人数靠的是谁，靠联合国，靠医疗机构？但是联合国的更多人员被炸死，医疗机构的更多人员被炸死，没有专业的人士去统计，这是第一点。
第二点的话整个通信链路出现了问题，也没有办法来把相关的准确信息传递出来。
还有一方面必须要强调以色列军队是惧怕真实的数字被国际社会所知。也就是现在15,000人被炸死，这个数字应该是一个保守的数字，还有更多的人如果被打死，以色列军队是不希望为国际社会所知，所以要想办法让这些尸体销声匿迹。还有一些人可能是在坑道里、废墟里被打死，这些人你怎么统计他的死亡？你怎么来计算他是算失踪还是算死亡人数？
以色列军队在加沙地区，这场军事冲突，我们说的更直白一点，打的是毫无章法。这种毫无章法让以色列军队是不顾及死亡的代价，只要能够确保自己死亡的人数少，这就达到了自己的战略目标。",2023/11/24 13:57,广东,1,wangyi
1,"加沙的无奈+以军的恐惧, 未来无法统计加沙死亡人数!","以最小的代价来实现更多巴勒斯坦人的死亡。这就是内塔尼亚、胡加兰特这些人的一厢情愿的想法。所以现在的加沙地带已经变成了人间炼狱，这也是一个基本的事实。
随着时间的推移，巴勒斯坦死亡的人数将会进一步增加。包括普京就指出，看到这么多人，这么多孩子在加沙地区被炸死，国际社会不吗？国际社会，美国也，包括有些欧洲国家也，不的是内塔尼亚胡，内塔尼亚胡把这些死亡的人，把巴勒斯坦人等同于是“恐怖分子”，你觉得他怎么可能会呢？
在加沙地带死亡的人数已经接近15,000人，受伤的人数可是不计其数。之前传出来受伤的人数是在3万人以上，死亡的人数是接近15,000人，而且70%死亡的人数是妇女儿童，并不是有很多哈马斯武装队员被打死。那么现在加沙卫生部门的负责人就指出，以后要统计死亡人数越来越难。
我们现在所看到的尽管有百万之众从加沙北部中部地区前往南部地区，但还有更多的人是留在了加沙城，留在了加沙北部中部地区，这些人必然会成为冲突的牺牲品。",2023/11/24 2:24,河北,1,wangyi
2,加沙的无奈+以军的恐惧，未来无法统计加沙死亡人数？,"以最小的代价来实现更多巴勒斯坦人的死亡。这就是内塔尼亚、胡加兰特这些人的一厢情愿的想法。所以现在的加沙地带已经变成了人间炼狱，这也是一个基本的事实。
随着时间的推移，巴勒斯坦死亡的人数将会进一步增加。包括普京就指出，看到这么多人，这么多孩子在加沙地区被炸死，国际社会不震惊吗？国际社会震惊，美国也震惊，包括有些欧洲国家也震惊，不震惊的是内塔尼亚胡，内塔尼亚胡把这些死亡的人，把巴勒斯坦人等同于是“恐怖分子”，你觉得他怎么可能会震惊呢？",2023/11/24 13:57,广东,1,wangyi
3,以色列欲驱逐230万加沙人，美国：反对，加沙人只能在加沙,美国反对,2023/11/25 5:38,广东,1,wangyi
4,世界屏住呼吸注视加沙停火,"根据以色列与哈马斯达成的停火协议，哈马斯24日释放13名以色列人质，以色列当天释放39名巴勒斯坦人。图为国际红十字会人员在以色列监狱外等待接人。（视觉中国）
本报驻埃及特派记者 黄培昭 ● 本报特约记者 于 文 柳玉鹏
当地时间24日上午7时（北京时间13时），巴勒斯坦伊斯兰抵抗运动（哈马斯）和以色列在加沙地带的停火协议正式生效。这是今年10月7日双方爆发新一轮冲突以来，加沙首次实现较长时间的停火。协议生效后，载有援助物资的车辆从拉法口岸的埃及一侧进入加沙。同日下午4时（北京时间晚10时），被哈马斯扣押的第一批13名人质被释放，在国际红十字会人员的带领下经拉法口岸进入埃及，再回到以色列。晚些时候，以色列将释放被关押在以监狱内的39名巴勒斯坦人。按照停火协议的规定，在接下来的3天内，同样的行动将重复进行。“世界屏住呼吸注视着停火协议的执行”，英国《镜报》称。几乎所有的分析都认为，无论从历史经验还是现实情况看，这份协议在执行中都面临着各种不确定性，且距离真正的和平还非常遥远。香港《南华早报》24日称，脆弱的4天停火开始了，这是结束冲突的第一步？还是更激烈冲突爆发前的准备期？许多专家的分析倾向于后者。
炮火持续至最后一刻
据英国广播公司（BBC）报道，哈马斯和以色列的停火协议主要包含以下内容：在为期4天的停火期内，哈马斯方面将释放共50名人质，以色列方面将释放关押的150名巴勒斯坦人，双方释放的人员均为妇女和儿童。以色列表示，在此期限后，哈马斯方面每释放10名人质，停火时间会延长一天。埃及方面表示，在停火的4天内，每天将有13万升柴油和4车汽油、200车援助物资运入加沙地带。
上述协议本应在23日正式生效，但推迟至24日。“众所周知，凡是可能出错的事情，就一定会出错。”以色列《国土报》的这句话说出了许多观察人士的担忧。各方紧盯以色列和哈马斯是否真的能在约定时间停火。BBC在以色列南部的记者称，距离停火开始不到一小时内，仍然能听到加沙持续不断的小型武器和迫击炮射击声，看到火光和烟雾冲上天空；然后是空袭，还有无人机的声音。“以色列军队似乎仍在加沙地带展开行动，直到最后一刻。”美国有线电视新闻网（CNN）记者称，重型武器开火的声音直到上午7时18分左右才停止。
据《以色列时报》报道，以国防军24日表示，停火协议生效前的最后一小时，以军摧毁了加沙最大医院希法医院附近的地下隧道和入口，并完成了在停火线上的部署。以军发言人哈加里23日晚称，作为协议的一部分，以色列军队将留在加沙地带内标记的停火线内；停火期间，以色列国防军将在该地区享有行动自由。他说，人质协议的任何方面都不是一成不变的，“直到它发生……它可能会发生变化”。
“这只是短暂的喘息”，以色列国防部长加兰特23日对以军精锐部队称，战争可能还将持续两个月。他要求以军士兵“在下一步行动之前组织起来，准备、检查和重新武装”，称“未来一个月左右将会发生大规模战斗”。
BBC称，在停火协议生效前几分钟，以色列军方在社交媒体上发布了一段视频，警告加沙民众“战争尚未结束”，禁止人们向北部移动。美联社称，停火协议生效后，数千名流离失所的巴勒斯坦人试图从加沙南部步行前往北部，以军开枪射击打死两人，另有11人受伤。
阿拉伯电视台称，24日，尽管哈马斯和以色列都指责对方有零星的枪击和其他违法行为，但没有发生大规模爆炸、炮击或火箭弹袭击的报道。在停火协议之外，哈马斯24日还释放了12名泰国人质。
还有一些在国外的巴勒斯坦人选择回到故土。CNN称，至少有67名被困在埃及的巴勒斯坦人24日返回加沙，他们有的称“已经22天没能联系到家人了”；有的称“加沙的土地是我们的灵魂”。
接下来会发生什么？
“以色列与哈马斯过去的停火被证明是脆弱的”，《纽约时报》24日称，以色列和哈马斯同意为期4天的停火，但从过去的经验来看，这不能保证战斗会一直暂停，更不用说持久和平了。“以色列与哈马斯的敌对行动历史上充满了被打破或勉强维持的停火和休战协议。这正在成为一个再熟悉不过的循环：暴力升级、第三国斡旋谈判、承诺放松封锁和停止敌对行动，随后是一段脆弱的平静时期。”
“接下来会发生什么？”《南华早报》的文章写道，分析人士称，停火将使各方有机会建立信任，但鉴于以色列铲除哈马斯的决心，这种信任不会持续太久。即使交战双方遵守停火协议条款，战斗暂停也可能仅限于几天。观察人士认为，以色列和哈马斯之间更激烈的战斗可能尚未到来，双方都没有关于如何结束战争的战略计划。相反，他们的下一步行动是在“观望”的基础上决定的，因为以色列地面部队面临着与盘踞在加沙城尚未接近地区的哈马斯武装人员进行血腥消耗战的前景。分析人士告诉该报，哈马斯的武装人员完好无损，隐藏在迷宫般的地下隧道中。与此同时，以色列政府似乎决心在加沙南部展开下一阶段军事行动，他们认为哈马斯领导层已迁往那里。
BBC认为，停火期也是“危险的时刻”。如果停战期间发生任何事情，以色列军队很难不进行干预。例如，如果他们能够追踪到哈马斯重要领导人的位置，他们会犹豫吗？
“这个国家将在过去六周的集体窒息后稍稍喘口气”，《国土报》24日称，内塔尼亚胡总理明白，人质协议能帮他走出目前的政治深渊，他没有不接受的选项。以色列大多数公众支持达成协议，只有少数右翼人士反对。公众压力和情绪是决定性的。
哈马斯“留了一手”
阿拉伯电视台网站24日刊文称，停火协议标志着以色列报复哈马斯的计划，尤其是其扬言要一举铲除哈马斯的计划彻底失败。就在两天前，内塔尼亚胡还说，以色列不会停止进攻加沙，除非哈马斯释放全部人质。现在哈马斯依然存在，且可以与以色列就释放人质和停火事宜讨价还价。
以色列及其支持者美国面临着越来越大的国际压力，是其同意停火协议的主要原因。埃及《消息报》评论说，随着冲突的不断升级，血腥的画面通过电视直播传遍世界，国际上对以色列的谴责和批评声越来越多、越来越响亮。《南华早报》引述分析人士的话称，美国一开始坚定支持以色列彻底铲除哈马斯，“但当以色列给阿拉伯人造成的痛苦和死亡数量超过美国在阿拉伯国家的利益受损的程度”，“压力就变大了”。
中东地区许多媒体认为，目前的停火也对哈马斯有利。约旦《明日报》称，哈马斯的武器，尤其是火箭弹库存已经告急，特别是这些天它已经没有能力再向以色列境内发射大量火箭弹。在双方军力和实力对比严重失衡的情况下，哈马斯从正面作战不是以军的对手。所以，通过地道战和偷袭以色列，哈马斯已经达到了既定目标，其政治、战略上的任务大功告成。现在，哈马斯需要“休养生息”，再展开斗争。
许多阿拉伯网友在社交媒体上留言称，以色列与哈马斯之间的停火协议只是暂时的，尤其是以色列，它停火的根本原因是为了解救人质，一旦目标达到，它会立即重开战火。同时，哈马斯也留了一手，即关键而重要的人质——以军士兵和军官，它不会同意释放，留作与以色列交手的最后一张底牌。哈马斯会在停火期间及时补充武装弹药并调整兵力部署和战术打法，以准备迎接4天后以色列很可能更大规模、更大烈度的空袭和地面攻势。双方的互不信任，决定了加沙的战火硝烟在短期内完全熄灭的难度加大。▲",2023/11/25 7:34,北京,1,wangyi
5,"巴以暂时停火后, 对加沙有利有弊, 加沙局势将迎来转机","好消息！加沙终于将迎来了短暂的停火期。当地时间11月22日凌晨，以色列政府向外界宣布，批准了一项与哈马斯互换人质的协议。根据该协议，双方将在23日早上10点交换互相扣押的人质，人质互换期间双方将会停火。目前，双方约定的停火时间是4天。另外，哈马斯每多释放10名人质，停火时间就将延长一天。
可以说，双方激战这么久确实需要歇一歇了。以色列这边一直面临着国内外的双重压力。先说国内的，首先，从以色列对加沙展开军事行动到现在，已经40多天了，虽然以色列对阵哈马斯已取得了绝对的优势，但其定下的彻底摧毁哈马斯的目标却仍未实现。而随着以军军事行动的展开，人员伤亡也在逐渐增加。其次，关于人质的压力，以色列国内一直有声音要求与哈马斯换俘，此前都被以色列政府压下去了，但这种声音是压不住，越是打压反弹的越厉害。近段时间，以总理内塔尼亚胡民调支持率骤减，甚至被曝出现执政危机，可能就与此有关。再说国外的，自从以色列在加沙造成大量平民伤亡后，国际舆论就已偏向指责以色列，多国宣布和以色列断交。交战另一方的哈马斯，其处境则更加艰难，加沙北部的基地差不多都被以色列摧毁了，基本丧失了对加沙北部的控制权。可以说，巴以双方都需要停下来喘口气。
停火对加沙有没有利？肯定是有的。以色列同意停火期间让更多的人道主义物资进入加沙，这可以拯救不少正处于死亡边缘的人。另外，停火也给了国际社会争取实现长久和平更多的时间。事在人为，既然短期停火已经实现，实现更长久的停火也不是完全没有可能。不过巴以暂时停火对加沙有利也有弊。毕竟这次只是暂时停火，以色列已经明确声明，停火期结束后就将继续进攻。我们都知道以色列从始至终只有一个目的，那就是彻底摧毁哈马斯。因此，在短暂的休整过后，一旦双方再度交火，战斗可能会更加惨烈。哈马斯手上人质数量减少后，以色列需要面临的压力也会减小，再想让以色列停火将会更加艰难。到时候以色列和一直支持以色列的美国都可以拿这次停火为借口，搪塞其他国家。
日前，联合国阿盟就巴以达成暂时停火协议一事表示欢迎。能暂时停火固然值得高兴，但加沙的局势依旧不容乐观。以色列虽然迫于种种压力同意了暂时停火，但其国内要求扩大战火的呼声却并未消失。以色列右翼和极右翼政治团体正在向以色列战时内阁施压，要求重启战端，并将战线推至加沙南部，彻底接管加沙。一面是战端重启的危机，另一面是加沙的人道主义救援机制依然缺失。当地大量民众依然面临着缺水少粮断电断网和缺少药物的困境。虽然以色列同意停火期间让更多救援物资进入加沙，但对加沙目前的整体情况而言，这些物资不过是杯水车薪。更何况，一旦再次开战，以色列地面部队真的有可能会进军加沙南部，造成的伤亡会比现在更多。另外，我们从更长远的角度来看，即使这次的冲突结束了，巴以想要迎来和平依旧还有漫长的路要走。只要“两国方案”还未落实，战争的风险就无法降低，加沙这片地区的苦难也无法消除。",2023/11/25 7:48,河北,1,wangyi
6,加沙地带南部民众返回家园，援助物资进入加沙,"当地时间24日7时，以色列同加沙地带哈马斯等武装组织开始执行临时停火协议。根据总台加沙报道员在前方了解的情况，加沙地带境内未再发生空袭和交火，加沙地带南部一些流离失所的民众陆续返回家园检查房屋状况，同时来自埃及的救援物资也开始逐步运入加沙地带。不过即便达成临时停火，加沙地带的民众生活和物资供应依然面临巨大的困难。
总台报道员 阿纳斯：从今天（24日）7时开始，巴勒斯坦武装组织与以色列军队之间开始人道主义停火，双方就多项问题达成协议，其中最重要的就是哈马斯释放其扣押的50名以方人员，而以色列方面则会释放其关押的150名妇女和少年。目前加沙地带南部地区相对平静，加沙地带南部上空已经看不到以军战机。此外，来自加沙地带南部以东的流离失所民众开始陆续返回家园，同时还有大量的卡车通过拉法陆路口岸进入加沙地带，上面装载着基础物资和人道主义援助物资。
此前，在加沙地带南部的汗尤尼斯，城市东郊持续遭到以军的空袭，大量当地民众被迫离开家园，躲入联合国机构开设的临时避难所。在此次临时停火生效之后，不少民众回到原来的家中，想收拾出一些尚能使用的家当。当地民众希望，此次临时停火，能够持续下去，甚至实现全面的停战。
流离失所者 默罕默德：当我们听说停火的消息时，大家都感到很高兴，这样我们就可以回去看看家里发生了什么，这48天很漫长，没有人知道我们的家发生了什么。我们在避难所遭受了很大的痛苦，没有电没有水，疾病肆虐。我们听说了将停火四天的消息，我们很高兴，当然很高兴，但愿上天保佑实现全面休战，而不仅仅是4天。因为人们遭受了太多苦难，并且仍在遭受苦难，我们回来后发现所有的房子都被炸毁了，但我宁愿在家门前搭个帐篷，也不愿住在别的地方。我希望停战能够永久持续，全面停火，为什么呢？因为我们累了，我们厌倦了这样的生活。
在民众得以自由活动的同时，来自埃及的运载人道主义救援物资的卡车也开始分批通过拉法口岸进入加沙地带。埃及方面预计，在临时停火的4天期间，预计每天将有200辆运载物资的卡车进入加沙地带。但是，这与冲突前每天500辆卡车的数量相比，仍然不足，同时援助物资的进入还面临着其他的挑战。
巴勒斯坦红新月会供应和设备主任 穆罕默德·阿布·阿塔：我想说我们在过去30天就一直守在这个拉法口岸，以接受来自埃及方面的援助。对于这次的临时停火，我们从今天（24日）7时就一直在场。从早上开始到中午，我们已经收到了大约80辆卡车。但我们可以说，我们面临的困境和挑战不在于卡车的数量，而在于接收这些卡车的能力。因为这条人道主义走廊空间非常有限，对卡车及相关工作人员的数量都有很大的限制。因此，我们要求开辟另一条人道主义走廊，使过境的卡车数量能增加一倍。",2023/11/25 8:27,山东,1,wangyi
7,总台现场直击丨加沙地带南部民众返回家园 援助物资进入加沙,"当地时间24日7时，以色列同加沙地带哈马斯等武装组织开始执行临时停火协议。根据总台加沙报道员在前方了解的情况，加沙地带境内未再发生空袭和交火，加沙地带南部一些流离失所的民众陆续返回家园检查房屋状况，同时来自埃及的救援物资也开始逐步运入加沙地带。不过即便达成临时停火，加沙地带的民众生活和物资供应依然面临巨大的困难。
总台报道员 阿纳斯：从今天（24日）7时开始，巴勒斯坦武装组织与以色列军队之间开始人道主义停火，双方就多项问题达成协议，其中最重要的就是哈马斯释放其扣押的50名以方人员，而以色列方面则会释放其关押的150名妇女和少年。目前加沙地带南部地区相对平静，加沙地带南部上空已经看不到以军战机。此外，来自加沙地带南部以东的流离失所民众开始陆续返回家园，同时还有大量的卡车通过拉法陆路口岸进入加沙地带，上面装载着基础物资和人道主义援助物资。
此前，在加沙地带南部的汗尤尼斯，城市东郊持续遭到以军的空袭，大量当地民众被迫离开家园，躲入联合国机构开设的临时避难所。在此次临时停火生效之后，不少民众回到原来的家中，想收拾出一些尚能使用的家当。当地民众希望，此次临时停火，能够持续下去，甚至实现全面的停战。
流离失所者 默罕默德：当我们听说停火的消息时，大家都感到很高兴，这样我们就可以回去看看家里发生了什么，这48天很漫长，没有人知道我们的家发生了什么。我们在避难所遭受了很大的痛苦，没有电没有水，疾病肆虐。我们听说了将停火四天的消息，我们很高兴，当然很高兴，但愿上天保佑实现全面休战，而不仅仅是4天。因为人们遭受了太多苦难，并且仍在遭受苦难，我们回来后发现所有的房子都被炸毁了，但我宁愿在家门前搭个帐篷，也不愿住在别的地方。我希望停战能够永久持续，全面停火，为什么呢？因为我们累了，我们厌倦了这样的生活。
在民众得以自由活动的同时，来自埃及的运载人道主义救援物资的卡车也开始分批通过拉法口岸进入加沙地带。埃及方面预计，在临时停火的4天期间，预计每天将有200辆运载物资的卡车进入加沙地带。但是，这与冲突前每天500辆卡车的数量相比，仍然不足，同时援助物资的进入还面临着其他的挑战。
巴勒斯坦红新月会供应和设备主任 穆罕默德·阿布·阿塔：我想说我们在过去30天就一直守在这个拉法口岸，以接受来自埃及方面的援助。对于这次的临时停火，我们从今天（24日）7时就一直在场。从早上开始到中午，我们已经收到了大约80辆卡车。但我们可以说，我们面临的困境和挑战不在于卡车的数量，而在于接收这些卡车的能力。因为这条人道主义走廊空间非常有限，对卡车及相关工作人员的数量都有很大的限制。因此，我们要求开辟另一条人道主义走廊，使过境的卡车数量能增加一倍。
（央视新闻客户端）",2023/11/25 15:47,北京,1,wangyi
8,加沙休战首日重现平静,"巴勒斯坦伊斯兰抵抗运动（哈马斯）与以色列在加沙地带的临时停火协议24日生效。新华社记者在现场看到，时隔近50天后，加沙地带、以色列与黎巴嫩边境地区暂时重归平静。
暂时重归平静
新华社记者24日驱车从耶路撒冷来到临近加沙地带的以色列城市斯代罗特。站在一处高地远眺，可以看到加沙地带许多建筑已被炸成废墟，但暂时听不到战事胶着期间时断时续的炮击声。
“这里现在安全了吗？”记者问一名以色列士兵。
“只能说目前是的。”他说。
新华社报道员在以黎边境看到，从当天早上开始，防空警报再也没有响起，以军与黎巴嫩真主党的交火也停了。真主党未与以色列达成停火协议，但22日宣布将加入哈马斯同以色列为期4天的休战。
△11月24日，搭载获释人员的直升机抵达以色列佩塔提克瓦一所医院。新华社/基尼图片社
当天傍晚，哈马斯释放首批13名以色列妇女和儿童以及11名泰国、菲律宾籍被扣押人员。他们在加沙地带与埃及接壤处的拉法口岸登上红十字国际委员会的车，稍后被带往以色列南部一座空军基地接受初步检查，再被送往医院进一步观察或治疗，最后将坐直升机到特拉维夫与家人团聚。
以色列当晚从约旦河西岸奥弗监狱释放39名巴勒斯坦人。巴勒斯坦电视台报道说，他们是24名妇女和15名未成年人，主要来自约旦河西岸和东耶路撒冷地区。记者看到，当他们乘坐的大客车缓缓驶出监狱时，巴勒斯坦民众挥舞国旗，将大巴团团围住欢迎他们。
△11月24日，在约旦河西岸城市拉姆安拉附近的拜图尼亚镇，人们庆祝被关押的巴勒斯坦人获释。新华社发（艾曼·诺巴尼摄）
根据22日达成的临时停火协议，哈马斯将释放至少50名妇女儿童，以换取以方在加沙地带停火4天并释放150名在押巴勒斯坦人。如果哈马斯能够释放更多妇女儿童，停火期限可延长至10天。届时，哈马斯每释放10人，以方将停火一天；每释放一人，以方就会释放三名在押巴勒斯坦人。
参与斡旋停火的卡塔尔24日晚证实，临时停火协议第一天的承诺得到履行。
民众期盼和平
联合国人道主义事务协调厅24日在一份声明中说，临时停火协议生效后，联合国得以扩大对加沙地带人道主义救援的规模。200辆运载救援物资的卡车当天被派往拉法口岸，12.9万升燃料和4卡车天然气也进入加沙地带，21名危重病人得以从加沙地带北部撤离。数十万民众获得食品、饮用水、医疗用品等救援物资。
欧盟外交与安全政策高级代表博雷利24日声明，停火协议“作为结束加沙地带持续、令人震惊的人道主义局势的第一步应该得到充分实施，并延长更长时间”。
△11月24日，完成运送任务的卡车从加沙返回拉法口岸埃及一侧。新华社发（穆罕默德·阿萨德摄）
加沙居民穆阿塔兹住在加沙地带北部，冲突开始时和家人逃到南部。从多日前邻居发来的照片中，他发现家附近已经成为瓦砾堆，自己家“可能已经不在了”。
停火了，穆阿塔兹终于不用担惊受怕，但有些沮丧，因为有家不能回。他不打算回家看看，“太危险了，以军会朝你开枪”。
以军宣布停火期间不会撤离加沙，将继续留在“停火线”，并散发传单警告逃离加沙北部的居民不要回家。据巴勒斯坦方面24日消息，两名试图回家的加沙居民遭以方射杀。
另一名逃难加沙人赫巴·穆罕默德说：“这里没有食物、水、煤气和面粉。我没有钱，孩子也在饿肚子。这样的日子还要忍受多久？我们厌倦了战争。四天的休战是不够的，希望这一切尽快结束。”
△这是11月24日停火生效后在加沙地带南部城市汗尤尼斯拍摄的街头景象。新华社发（里泽克·阿卜杜勒贾瓦德摄）
24日当天，耶路撒冷市中心雅法路上，人流明显增多，许多妇女带着孩子出门。在特拉维夫的以色列国防部门前，就职于高技术行业的以色列人阿里埃勒对记者说：“战争最大受害者就是平民，我们不想要战争，只希望正常的生活早点回来。”
以色列总理内塔尼亚胡等政府和军方高层已明确表示，4天休战结束后，战斗将继续，直至以方实现包括消灭哈马斯在内的所有目标。
哈马斯10月7日自加沙地带对以色列境内军民目标发动突袭，以方称袭击造成大约1200人死亡、数千人受伤。以色列随后进入战争状态，对加沙地带发起大规模军事行动。哈马斯23日说，以军行动造成加沙地带超过1.48万人死亡，另有3.6万余人受伤，超过7000人失踪。
来源：央视新闻",2023/11/25 17:09,湖南,1,wangyi
9,200辆人道主义援助卡车进入加沙，其中50多辆运往加沙地带北部,"200辆载有人道主义援助物资的卡车进入加沙地带，其中一些物资将自战争开始以来首次抵达飞地北部。
领土政府活动协调员（COGAT）说，经以色列批准，50多辆卡车被指定用于加沙地带北部，包括尚未撤离的地区。领土政府活动协调员COGAT说，今天有四辆油罐车和四辆油罐车从埃及进入加沙地带。
在发动地面行动之前，以色列国防军告诉巴勒斯坦平民使用人道主义走廊向南撤离到飞地指定的安全地区。
作为以色列与哈马斯恐怖组织之间临时休战的一部分，援助正在进入加沙地带，由埃及和卡塔尔调解。
作为协议的一部分，在加沙被扣为人质的大约50名儿童和妇女被释放，每释放一名以色列人，就有三名巴勒斯坦囚犯被释放。",2023/11/25 23:53,广西,1,wangyi
